5'_gene	3'_gene	5'_transcript	3'_transcript	exon_gene_source	exon_number	exon_chr	exon_start	exon_end
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	3	20	35842573	35842744
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	4	20	35847350	35847434
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	5	20	35858302	35858381
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	6	20	35863013	35863400
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	7	20	35869438	35869551
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	8	20	35870955	35871134
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	9	20	35871650	35871829
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	10	20	35899370	35899648
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	11	20	35913249	35913347
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	12	20	35914033	35914197
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	13	20	35917484	35917662
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	14	20	35927780	35927879
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	15	20	35931249	35931444
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	16	20	35938697	35939108
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	17	20	35940864	35941047
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	18	20	35947485	35950381
